11.1. Correlacao da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Ifanbeam 	 Iradon 
1 		 TC 11 		 0.9202 	 0.9988 	 0.9997 	 0.9980 	 0.9920
2 		 TC 13 		 0.8638 	 0.9989 	 0.9997 	 0.9980 	 0.9921
3 		 TC 19 		 0.9209 	 0.9988 	 0.9996 	 0.9979 	 0.9919
4 		 TC 32 		 0.9120 	 0.9983 	 0.9990 	 0.9974 	 0.9912
5 		 TC 41 		 0.8949 	 0.9975 	 0.9981 	 0.9964 	 0.9901
6 		 TC 47 		 0.8294 	 0.9963 	 0.9969 	 0.9954 	 0.9888


11.2. PSNR da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Ifanbeam 	 Iradon 
1 		 TC 11 		 48.7762 	 67.4226 	 73.8857 	 65.0558 	 58.6846
2 		 TC 13 		 46.3156 	 67.5521 	 73.6720 	 65.0936 	 58.6986
3 		 TC 19 		 48.8353 	 67.1499 	 72.0360 	 64.9282 	 58.6685
4 		 TC 32 		 48.3207 	 65.6803 	 68.0837 	 63.8542 	 58.3894
5 		 TC 41 		 47.5730 	 64.0875 	 65.2919 	 62.5855 	 58.0026
6 		 TC 47 		 45.1991 	 62.5356 	 63.2146 	 61.5189 	 57.5860


11.3. Erro Medio Absoluto da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Ifanbeam 	 Iradon 
1 		 TC 11 		 156.8712 	 12.5443 	 7.6296 	 16.5199 	 29.5317
2 		 TC 13 		 215.3584 	 12.4361 	 7.6608 	 16.3915 	 29.3297
3 		 TC 19 		 159.0187 	 13.1475 	 8.5439 	 16.9094 	 29.7825
4 		 TC 32 		 167.1433 	 14.5227 	 10.6799 	 18.7458 	 31.4830
5 		 TC 41 		 188.8997 	 15.9150 	 12.9423 	 20.5446 	 33.1589
6 		 TC 47 		 239.9210 	 17.6448 	 15.2444 	 22.6101 	 35.2230
