10.1. Correlacao da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 10 		 0.8450 	 0.9798 	 0.9827 	 0.9827 	 0.9801 	 0.9734
02 		 TC 11 		 0.8353 	 0.9822 	 0.9606 	 0.9606 	 0.9820 	 0.9756
03 		 TC 12 		 0.8364 	 0.9857 	 0.9587 	 0.9587 	 0.9859 	 0.9794
04 		 TC 13 		 0.8429 	 0.9803 	 0.9808 	 0.9808 	 0.9812 	 0.9745

05 		 TC 23 		 0.9228 	 0.9819 	 0.9841 	 0.9841 	 0.9820 	 0.9760
06 		 TC 24 		 0.9202 	 0.9864 	 0.9690 	 0.9690 	 0.9859 	 0.9801
07 		 TC 25 		 0.9186 	 0.9888 	 0.9680 	 0.9680 	 0.9887 	 0.9828
08 		 TC 26 		 0.9181 	 0.9845 	 0.9852 	 0.9852 	 0.9846 	 0.9787

09 		 TC 44 		 0.9103 	 0.9968 	 0.9980 	 0.9980 	 0.9961 	 0.9901
10 		 TC 45 		 0.9106 	 0.9981 	 0.9963 	 0.9963 	 0.9971 	 0.9912
11 		 TC 46 		 0.9152 	 0.9983 	 0.9968 	 0.9968 	 0.9974 	 0.9914
12 		 TC 47 		 0.9187 	 0.9974 	 0.9987 	 0.9987 	 0.9968 	 0.9906



10.2. PSNR da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 10 		 45.3231 	 54.6473 	 55.3246 	 55.3246 	 54.6869 	 53.4154
02 		 TC 11 		 45.0411 	 55.2132 	 51.8059 	 51.8059 	 55.1465 	 53.7824
03 		 TC 12 		 45.0455 	 56.1257 	 51.5924 	 51.5924 	 56.1763 	 54.4704
04 		 TC 13 		 45.2429 	 54.7533 	 54.8680 	 54.8680 	 54.9321 	 53.5749

05 		 TC 23 		 48.4973 	 55.0096 	 55.5770 	 55.5770 	 55.0275 	 53.7087
06 		 TC 24 		 48.3911 	 56.2691 	 52.7384 	 52.7384 	 56.1233 	 54.5296
07 		 TC 25 		 48.2813 	 57.1096 	 52.5912 	 52.5912 	 57.0579 	 55.1228
08 		 TC 26 		 48.2742 	 55.7101 	 55.9252 	 55.9252 	 55.7473 	 54.2484

09 		 TC 44 		 48.2965 	 62.9761 	 65.1215 	 65.1215 	 62.1123 	 57.7712
10 		 TC 45 		 48.3198 	 65.2521 	 62.3353 	 62.3353 	 63.4244 	 58.2698
11 		 TC 46 		 48.5822 	 65.7923 	 62.9707 	 62.9707 	 63.9422 	 58.3966
12 		 TC 47 		 48.7860 	 63.8874 	 66.9208 	 66.9208 	 62.9674 	 58.0421



10.3. Erro Medio Absoluto da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 10 		 227.3534 	 48.8625 	 44.9025 	 44.9025 	 55.7754 	 70.2677
02 		 TC 11 		 235.7080 	 43.1705 	 65.1277 	 65.1277 	 49.5826 	 63.6847
03 		 TC 12 		 235.9221 	 38.5617 	 65.6827 	 65.6827 	 44.9355 	 59.9496
04 		 TC 13 		 230.0777 	 43.9976 	 44.6404 	 44.6404 	 50.1982 	 65.4976

05 		 TC 23 		 152.7177 	 44.0907 	 39.4907 	 39.4907 	 49.4024 	 63.1703
06 		 TC 24 		 153.8805 	 36.6531 	 54.0395 	 54.0395 	 41.5145 	 54.6046
07 		 TC 25 		 156.9379 	 33.2564 	 53.5516 	 53.5516 	 37.8021 	 51.8142
08 		 TC 26 		 155.7222 	 37.8291 	 36.9300 	 36.9300 	 42.4221 	 56.3235

09 		 TC 44 		 163.9881 	 16.1957 	 12.4947 	 12.4947 	 20.7426 	 33.6854
10 		 TC 45 		 163.7126 	 14.0238 	 15.5205 	 15.5205 	 18.6917 	 31.0739
11 		 TC 46 		 157.6616 	 13.5455 	 14.9813 	 14.9813 	 18.0683 	 30.7615
12 		 TC 47 		 153.8888 	 15.2947 	 11.4670 	 11.4670 	 19.7930 	 32.8614
