Teste,Fatia,Com_ruido,RG,Linear,Spline,Ifanbeam,Iradon
"01","TC 10",0.8450,0.9798,0.9827,0.9827,0.9801,0.9734
"02","TC 11",0.8353,0.9822,0.9606,0.9606,0.9820,0.9756
"03","TC 12",0.8364,0.9857,0.9587,0.9587,0.9859,0.9794
"04","TC 13",0.8429,0.9803,0.9808,0.9808,0.9812,0.9745
"05","TC 23",0.9228,0.9819,0.9841,0.9841,0.9820,0.9760
"06","TC 24",0.9202,0.9864,0.9690,0.9690,0.9859,0.9801
"07","TC 25",0.9186,0.9888,0.9680,0.9680,0.9887,0.9828
"08","TC 26",0.9181,0.9845,0.9852,0.9852,0.9846,0.9787
"09","TC 44",0.9103,0.9968,0.9980,0.9980,0.9961,0.9901
"10","TC 45",0.9106,0.9981,0.9963,0.9963,0.9971,0.9912
"11","TC 46",0.9152,0.9983,0.9968,0.9968,0.9974,0.9914
"12","TC 47",0.9187,0.9974,0.9987,0.9987,0.9968,0.9906
