Teste,Fatia,Com_ruido,RG,Linear,Spline,Ifanbeam,Iradon
"01","TC 10",227.3534,48.8625,44.9025,44.9025,55.7754,70.2677
"02","TC 11",235.7080,43.1705,65.1277,65.1277,49.5826,63.6847
"03","TC 12",235.9221,38.5617,65.6827,65.6827,44.9355,59.9496
"04","TC 13",230.0777,43.9976,44.6404,44.6404,50.1982,65.4976
"05","TC 23",152.7177,44.0907,39.4907,39.4907,49.4024,63.1703
"06","TC 24",153.8805,36.6531,54.0395,54.0395,41.5145,54.6046
"07","TC 25",156.9379,33.2564,53.5516,53.5516,37.8021,51.8142
"08","TC 26",155.7222,37.8291,36.9300,36.9300,42.4221,56.3235
"09","TC 44",163.9881,16.1957,12.4947,12.4947,20.7426,33.6854
"10","TC 45",163.7126,14.0238,15.5205,15.5205,18.6917,31.0739
"11","TC 46",157.6616,13.5455,14.9813,14.9813,18.0683,30.7615
"12","TC 47",153.8888,15.2947,11.4670,11.4670,19.7930,32.8614
