Teste,Fatia,Com_ruido,RG,Linear,Spline,Ifanbeam,Iradon
"01","TC 10",45.3231,54.6473,55.3246,55.3246,54.6869,53.4154
"02","TC 11",45.0411,55.2132,51.8059,51.8059,55.1465,53.7824
"03","TC 12",45.0455,56.1257,51.5924,51.5924,56.1763,54.4704
"04","TC 13",45.2429,54.7533,54.8680,54.8680,54.9321,53.5749
"05","TC 23",48.4973,55.0096,55.5770,55.5770,55.0275,53.7087
"06","TC 24",48.3911,56.2691,52.7384,52.7384,56.1233,54.5296
"07","TC 25",48.2813,57.1096,52.5912,52.5912,57.0579,55.1228
"08","TC 26",48.2742,55.7101,55.9252,55.9252,55.7473,54.2484
"09","TC 44",48.2965,62.9761,65.1215,65.1215,62.1123,57.7712
"10","TC 45",48.3198,65.2521,62.3353,62.3353,63.4244,58.2698
"11","TC 46",48.5822,65.7923,62.9707,62.9707,63.9422,58.3966
"12","TC 47",48.7860,63.8874,66.9208,66.9208,62.9674,58.0421
