10. Exibicao dos resultados

10.1. Correlacao da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
35 		 TC 35 		 0.9857 	 1.0000 	 1.0000 	 1.0000 	 0.9984 	 0.9929
36 		 TC 36 		 0.9195 	 0.9926 	 0.9947 	 0.9947 	 0.9925 	 0.9863
37 		 TC 37 		 0.9163 	 0.9944 	 0.9875 	 0.9875 	 0.9942 	 0.9880
38 		 TC 38 		 0.9117 	 0.9951 	 0.9837 	 0.9837 	 0.9946 	 0.9885
39 		 TC 39 		 0.9115 	 0.9968 	 0.9828 	 0.9828 	 0.9963 	 0.9902
40 		 TC 40 		 0.9118 	 0.9985 	 0.9834 	 0.9834 	 0.9975 	 0.9915
41 		 TC 41 		 0.9107 	 0.9966 	 0.9853 	 0.9853 	 0.9961 	 0.9900
42 		 TC 42 		 0.9105 	 0.9960 	 0.9888 	 0.9888 	 0.9957 	 0.9895
43 		 TC 43 		 0.9143 	 0.9950 	 0.9933 	 0.9933 	 0.9948 	 0.9886
44 		 TC 44 		 0.9149 	 0.9955 	 0.9980 	 0.9980 	 0.9953 	 0.9890
45 		 TC 45 		 0.9858 	 1.0000 	 1.0000 	 1.0000 	 0.9985 	 0.9927


10.2. PSNR da TC original com as demais TC reconstruidas
35 		 TC 35 		 56.3731 	 Inf 	 Inf 	 Inf 	 65.9595 	 59.0340
36 		 TC 36 		 48.7179 	 59.2937 	 60.7320 	 60.7319 	 59.2128 	 56.4212
37 		 TC 37 		 48.5455 	 60.5023 	 57.0449 	 57.0449 	 60.3548 	 57.0105
38 		 TC 38 		 48.2994 	 61.0451 	 55.9059 	 55.9058 	 60.6711 	 57.1867
39 		 TC 39 		 48.2855 	 62.9688 	 55.6552 	 55.6552 	 62.2721 	 57.8312
40 		 TC 40 		 48.3029 	 66.2075 	 55.8233 	 55.8233 	 63.9824 	 58.4204
41 		 TC 41 		 48.2783 	 62.7435 	 56.3678 	 56.3678 	 62.1085 	 57.7581
42 		 TC 42 		 48.2815 	 62.0384 	 57.5772 	 57.5772 	 61.7035 	 57.5889
43 		 TC 43 		 48.4868 	 61.0720 	 59.8207 	 59.8207 	 60.8699 	 57.2444
44 		 TC 44 		 48.5252 	 61.4528 	 65.0463 	 65.0463 	 61.3318 	 57.4254
45 		 TC 45 		 56.5154 	 Inf 	 Inf 	 Inf 	 66.1465 	 59.0495


10.3. Erro Medio Absoluto da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
35 		 TC 35 		 33.1700 	 0.0000 	 0.0000 	 0.0000 	 12.8532 	 24.6053
36 		 TC 36 		 146.5014 	 23.6391 	 19.7611 	 19.7617 	 27.9855 	 41.6615
37 		 TC 37 		 147.9950 	 21.1940 	 28.3129 	 28.3129 	 25.3900 	 38.9841
38 		 TC 38 		 150.8416 	 20.3110 	 32.7285 	 32.7291 	 24.8009 	 37.9320
39 		 TC 39 		 151.2253 	 17.3559 	 34.3007 	 34.3007 	 21.6732 	 35.0725
40 		 TC 40 		 150.7200 	 13.3081 	 34.0563 	 34.0563 	 17.9745 	 30.9319
41 		 TC 41 		 151.4574 	 17.4063 	 32.3635 	 32.3635 	 21.7614 	 35.0769
42 		 TC 42 		 151.7467 	 18.5829 	 28.5070 	 28.5067 	 23.0594 	 36.5191
43 		 TC 43 		 150.0260 	 20.2364 	 22.9949 	 22.9949 	 24.6013 	 38.2129
44 		 TC 44 		 152.1613 	 19.2212 	 14.7576 	 14.7577 	 23.7091 	 37.3993
45 		 TC 45 		 30.6900 	 0.0000 	 0.0000 	 0.0000 	 12.0482 	 23.8073
