Test,Slice,With noise,RG,Linear,Spline,Ifanbeam,Iradon
35,CT 35,0.9857,1.0000,1.0000,1.0000,0.9984,0.9929
36,CT 36,0.9195,0.9926,0.9947,0.9947,0.9925,0.9863
37,CT 37,0.9163,0.9944,0.9875,0.9875,0.9942,0.9880
38,CT 38,0.9117,0.9951,0.9837,0.9837,0.9946,0.9885
39,CT 39,0.9115,0.9968,0.9828,0.9828,0.9963,0.9902
40,CT 40,0.9118,0.9985,0.9834,0.9834,0.9975,0.9915
41,CT 41,0.9107,0.9966,0.9853,0.9853,0.9961,0.9900
42,CT 42,0.9105,0.9960,0.9888,0.9888,0.9957,0.9895
43,CT 43,0.9143,0.9950,0.9933,0.9933,0.9948,0.9886
44,CT 44,0.9149,0.9955,0.9980,0.9980,0.9953,0.9890
45,CT 45,0.9858,1.0000,1.0000,1.0000,0.9985,0.9927
