Test,Slice,With noise,RG,Linear,Spline,Ifanbeam,Iradon
35,CT 35,56.3731,Inf,Inf,Inf,65.9595,59.0340
36,CT 36,48.7179,59.2937,60.7320,60.7319,59.2128,56.4212
37,CT 37,48.5455,60.5023,57.0449,57.0449,60.3548,57.0105
38,CT 38,48.2994,61.0451,55.9059,55.9058,60.6711,57.1867
39,CT 39,48.2855,62.9688,55.6552,55.6552,62.2721,57.8312
40,CT 40,48.3029,66.2075,55.8233,55.8233,63.9824,58.4204
41,CT 41,48.2783,62.7435,56.3678,56.3678,62.1085,57.7581
42,CT 42,48.2815,62.0384,57.5772,57.5772,61.7035,57.5889
43,CT 43,48.4868,61.0720,59.8207,59.8207,60.8699,57.2444
44,CT 44,48.5252,61.4528,65.0463,65.0463,61.3318,57.4254
45,CT 45,56.5154,Inf,Inf,Inf,66.1465,59.0495
