Teste,Fatia,Com ruido,RG,Linear,Spline,Ifanbeam,Iradon 
01,TC 21,45.0512,56.8326,56.9996,56.9996,56.7100,54.8907
02,TC 22,45.1443,60.8189,54.5661,54.5661,60.1358,56.8790
03,TC 23,45.1266,56.7803,57.0868,57.0868,56.6756,54.8431
04,TC 25,46.4361,56.4691,56.8118,56.8118,56.3735,54.6990
05,TC 26,46.2461,60.3612,54.2631,54.2631,59.7691,56.6943
06,TC 27,46.3797,56.6130,57.0126,57.0126,56.5187,54.7680
07,TC 31,46.7724,58.3784,59.0030,59.0030,58.2340,55.7975
08,TC 32,46.7979,63.0936,57.1758,57.1758,61.9726,57.6032
09,TC 33,46.7833,59.2715,60.1822,60.1822,59.0925,56.2522
10,TC 44,46.1723,55.1932,55.6359,55.6359,55.1934,53.7975
11,TC 45,46.2152,58.6934,52.6489,52.6489,58.3504,55.8822
12,TC 46,46.4680,54.4388,54.6568,54.6568,54.4608,53.2545
