10.1. Correlacao da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 07 		 0.8869 	 0.9870 	 0.9897 	 0.9897 	 0.9868 	 0.9807
02 		 TC 08 		 0.8865 	 0.9935 	 0.9798 	 0.9798 	 0.9932 	 0.9871
03 		 TC 09 		 0.8909 	 0.9967 	 0.9741 	 0.9741 	 0.9960 	 0.9902
04 		 TC 10 		 0.8905 	 0.9910 	 0.9757 	 0.9757 	 0.9907 	 0.9846
05 		 TC 11 		 0.8911 	 0.9880 	 0.9891 	 0.9891 	 0.9879 	 0.9817

06 		 TC 17 		 0.9060 	 0.9878 	 0.9905 	 0.9905 	 0.9874 	 0.9804
07 		 TC 18 		 0.9065 	 0.9885 	 0.9734 	 0.9734 	 0.9880 	 0.9812
08 		 TC 19 		 0.9025 	 0.9948 	 0.9641 	 0.9641 	 0.9939 	 0.9872
09 		 TC 20 		 0.8963 	 0.9878 	 0.9694 	 0.9694 	 0.9874 	 0.9805
10 		 TC 21 		 0.9001 	 0.9853 	 0.9859 	 0.9859 	 0.9854 	 0.9783

11 		 TC 45 		 0.9143 	 0.9734 	 0.9796 	 0.9796 	 0.9734 	 0.9668
12 		 TC 46 		 0.9171 	 0.9778 	 0.9464 	 0.9464 	 0.9780 	 0.9715
13 		 TC 47 		 0.9181 	 0.9904 	 0.9280 	 0.9280 	 0.9898 	 0.9836
14 		 TC 48 		 0.9198 	 0.9734 	 0.9309 	 0.9309 	 0.9738 	 0.9674
15 		 TC 49 		 0.9201 	 0.9678 	 0.9688 	 0.9688 	 0.9688 	 0.9625


10.2. PSNR da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 07 		 46.5888 	 56.3984 	 57.4459 	 57.4459 	 56.3132 	 54.6455
02 		 TC 08 		 46.5767 	 59.3857 	 54.5397 	 54.5397 	 59.1405 	 56.3468
03 		 TC 09 		 46.8197 	 62.4622 	 53.5252 	 53.5252 	 61.5695 	 57.5154
04 		 TC 10 		 46.9152 	 58.1887 	 53.9033 	 53.9033 	 58.0164 	 55.7106
05 		 TC 11 		 47.0567 	 57.0425 	 57.4629 	 57.4629 	 57.0070 	 55.1108

06 		 TC 17 		 48.1384 	 57.2820 	 58.4048 	 58.4049 	 57.1273 	 55.1977
07 		 TC 18 		 48.1866 	 57.5833 	 53.9985 	 53.9985 	 57.4081 	 55.3625
08 		 TC 19 		 48.0488 	 61.0612 	 52.7689 	 52.7689 	 60.3689 	 57.0060
09 		 TC 20 		 47.8215 	 57.4444 	 53.4915 	 53.4915 	 57.3026 	 55.2768
10 		 TC 21 		 47.9871 	 56.6475 	 56.8081 	 56.8082 	 56.6633 	 54.8483

11 		 TC 45 		 48.1042 	 53.4241 	 54.5862 	 54.5863 	 53.4221 	 52.4612
12 		 TC 46 		 48.2294 	 54.1957 	 50.4532 	 50.4532 	 54.2205 	 53.0761
13 		 TC 46 		 48.2699 	 57.7832 	 49.1845 	 49.1845 	 57.5312 	 55.4020
14 		 TC 48 		 48.3459 	 53.3850 	 49.3232 	 49.3232 	 53.4387 	 52.4513
15 		 TC 49 		 48.3817 	 52.5636 	 52.7148 	 52.7148 	 52.6900 	 51.8399


10.3. Erro Medio Absoluto da TC original com as demais TC reconstruidas
Teste 	 Fatia 		 Com ruido 	 RG 		 Linear 	 Spline 	 Ifanbeam 	 Iradon 
01 		 TC 07 		 195.5066 	 30.8619 	 25.7334 	 25.7330 	 36.3667 	 49.9291
02 		 TC 08 		 197.6189 	 37.6155 	 38.0706 	 38.0710 	 42.4444 	 55.7454
03 		 TC 09 		 193.2642 	 17.8624 	 43.7677 	 43.7677 	 22.9516 	 36.8735
04 		 TC 10 		 188.9112 	 25.7101 	 41.1696 	 41.1696 	 30.7992 	 44.7358
05 		 TC 11 		 183.9643 	 28.3206 	 27.3405 	 27.3403 	 33.4200 	 46.9467

06 		 TC 17 		 157.9372 	 32.1951 	 27.2121 	 27.2121 	 37.6447 	 51.1777
07 		 TC 18 		 157.3864 	 28.6590 	 44.3299 	 44.3299 	 33.9922 	 47.9179
08 		 TC 19 		 163.1223 	 20.6999 	 51.0856 	 51.0856 	 26.0664 	 39.7085
09 		 TC 20 		 167.5423 	 29.4320 	 46.8070 	 46.8070 	 35.0803 	 49.2529
10 		 TC 21 		 163.5953 	 32.6439 	 32.2210 	 32.2198 	 38.4155 	 52.9707

11 		 TC 45 		 160.4056 	 59.5710 	 51.2534 	 51.2528 	 66.0507 	 79.4843
12 		 TC 46 		 159.2466 	 52.4975 	 84.3897 	 84.3897 	 58.9844 	 72.9479
13 		 TC 46 		 159.4739 	 35.2213 	 98.9810 	 98.9810 	 41.7725 	 55.5505
14 		 TC 48 		 159.6793 	 57.3928 	 94.9171 	 94.9171 	 63.9022 	 77.8843
15 		 TC 49 		 157.5048 	 62.4109 	 62.9437 	 62.9432 	 68.4583 	 82.9256
