Teste,Fatia,Com ruido,RG,Linear,Spline,Ifanbeam,Iradon
01,TC 07,46.5888,56.3984,57.4459,57.4459,56.3132,54.6455
02,TC 08,46.5767,59.3857,54.5397,54.5397,59.1405,56.3468
03,TC 09,46.8197,62.4622,53.5252,53.5252,61.5695,57.5154
04,TC 10,46.9152,58.1887,53.9033,53.9033,58.0164,55.7106
05,TC 11,47.0567,57.0425,57.4629,57.4629,57.0070,55.1108
06,TC 17,48.1384,57.2820,58.4048,58.4049,57.1273,55.1977
07,TC 18,48.1866,57.5833,53.9985,53.9985,57.4081,55.3625
08,TC 19,48.0488,61.0612,52.7689,52.7689,60.3689,57.0060
09,TC 20,47.8215,57.4444,53.4915,53.4915,57.3026,55.2768
10,TC 21,47.9871,56.6475,56.8081,56.8082,56.6633,54.8483
11,TC 45,48.1042,53.4241,54.5862,54.5863,53.4221,52.4612
12,TC 46,48.2294,54.1957,50.4532,50.4532,54.2205,53.0761
13,TC 46,48.2699,57.7832,49.1845,49.1845,57.5312,55.4020
14,TC 48,48.3459,53.3850,49.3232,49.3232,53.4387,52.4513
15,TC 49,48.3817,52.5636,52.7148,52.7148,52.6900,51.8399
