fatia_1,fatia_2,método,correlação
111,112,nenhum,0.970675
111,112 com ruído,nenhum,0.867816
111,112 medFilter2,filtro da média da vizinhança,0.933185
111,112 ifanbeam,inversa da projeção de dados fanbeam,0.881432
111,112 iradon,inversa da transformada de radon,0.877346
111,112 rg,interpolação baseada em registro,0.992694
112,112 com ruído,nenhum,0.870943
112,112 medFilter2,filtro da média da vizinhança,0.935349
112,112 ifanbeam,inversa da projeção de dados fanbeam,0.884166
112,112 iradon,inversa da transformada de radon,0.880277
112,112 rg,interpolação baseada em registro,0.976735
113,112,nenhum,0.973789
113,112 com ruído,nenhum,0.868106
113,112 medFilter2,filtro da média da vizinhança,0.931728
113,112 ifanbeam,inversa da projeção de dados fanbeam,0.881220
113,112 iradon,inversa da transformada de radon,0.877207
113,112 rg,interpolação baseada em registro,0.961984
